sample_id,topic_name,topic_text
T004_S0001,4_turn heater_insight switch_turn ac_plug turn,"When Air quality changed from WeMo Air Purifier, do Set air purifier mode using WeMo Air Purifier. Turn on your Air Purifier when the air quality decreases. Whenever your air purifier registers an air quality you specify, turn your air purifier on."
T004_S0002,4_turn heater_insight switch_turn ac_plug turn,"When Air pressure drops below from Netatmo Weather Station, do Turn off using WeMo Smart Plug. Electrical System Shut Down in Bad Weather. If low pressure system is approaching, than electric and electronic devices can be shut down for protection.Unfortunately, no IFTTT available Trigger can be associated to Thunderstorms Forecast."
T004_S0003,4_turn heater_insight switch_turn ac_plug turn,"When Wind speed rises above from Weather, do Turn off using WeMo Switch. If wind is above 5mph turn off fountain. Stops water being lost from the fountain"
T004_S0004,4_turn heater_insight switch_turn ac_plug turn,"When Temperature drops below from Netatmo Weather Station, do Turn A/C off using Sensibo. Turn off AC when room temperature drops under 24ÃÂÃÂÃÂÃÂ°C. Using Netatmo temperature sensor."
T004_S0005,4_turn heater_insight switch_turn ac_plug turn,"When Switched on from WeMo Smart Plug, do Unpause using ThermoSmart. If WeMo Switch is turned on, then unpause your Thermosmart. If WeMo Switch is turned on, then unpause your Thermosmart"
T004_S0006,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn on using WeMo Smart Plug. If it's CLOUDY then turn ON my Rain Bird Irrigation System (Sprinkler). Most irrigation systems like Rain Bird have a battery back up which maintains the programming as well as the timeWhen the power is OFF the system will not run the irrigationThis rule will turn ON the We Mo Switch when the current condition shows CLEARBe sure to copy my other rule which turn OFF the Rain Bird on a RAINY day  https://ifttt.com/Applets/92828"
T004_S0007,4_turn heater_insight switch_turn ac_plug turn,"When Wind speed rises above from Weather Underground, do Turn off using WeMo Smart Plug. Turn off inflatable holiday decorations if it gets windy. This turns off inflatable holiday decorations if the wind speed rises above 10 mph so they don't try to fly away."
T004_S0008,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature rises above from Weather Underground, do Turn off using WeMo Smart Plug. Chicken coop heat lamp off in warm weather.. If the local temperature rises above a set level, then the Wemo switch powering the heat lamp in the chicken coop will turn off."
T004_S0009,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature drops below from Weather Underground, do Turn off using WeMo Smart Plug. Turn off a/c when temp drops below 85F. We use this, along with a companion ""on"" Applet, when we travel in the summer to make sure our cat is ok without having to run the a/c 24/7The switch turns on when the temperature goes up, and off when it drops again."
T004_S0010,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature drops below from Weather Underground, do Turn off using WeMo Smart Plug. Turn Off AC When it's Cold Outside. If you have an air conditioner plugged into a Wemo switch, it will automatically turn off when the outside temperature goes below a threshold."
T004_S0011,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn off using WeMo Smart Plug. Whenever there is a thunder storm save my electrical equipment!!!. Whenever there is a thunder storm save my electrical equipment!!!"
T004_S0012,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn off using WeMo Smart Plug. Wemo off at rain. Wemo off"
T004_S0013,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn off using WeMo Smart Plug. Raining? Turn sprinklers off!. Save water by turning sprinkler programmer off when current condition changes to rain."
T004_S0014,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn off using WeMo Smart Plug. If it's RAINING then turn OFF my Rain Bird Irrigation System (Sprinkler). Most irrigation systems like Rain Bird have a battery back up which maintains the programming as well as the time When the power is OFF the system will not run the irrigation This rule will turn off the WeMo Switch when the current condition shows rain Be sure to copy my other rules which turn ON the Rain Bird on CLEAR and CLOUDY days........................................................................CLEAR DAY RULE -> https://ifttt.com/Applets/92830 ................................................................................CLOUDY DAY RULE -> https://ifttt.com/Applets/92829"
T004_S0015,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature rises above from Weather Underground, do Turn on using WeMo Smart Plug. WeMo A/C turn on at 21c. Turns a/c on at 21c"
T004_S0016,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature drops below from Weather Underground, do Turn off using WeMo Smart Plug. Turn off wemo switch when temp decreases. Set temp for when to turn off wemo switch"
T004_S0017,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature drops below from Weather Underground, do Turn off using WeMo Smart Plug. If temperature falls below 70, then turn cooler off.. I have a great window evaporative cooler (also known as swamp cooler) in my house, but the only control it has is fan speed and cooling pump on/off - using this Applet combined with another acts as a thermostat for the cooler No more cold nights when I forget to switch it off, or warm mornings when I don't turn it on early enough."
T004_S0018,4_turn heater_insight switch_turn ac_plug turn,"When Current humidity level rises above from Weather Underground, do Turn off using WeMo Smart Plug. humidity sensitive lights off with high humidity weather. Set humidity per device limits"
T004_S0019,4_turn heater_insight switch_turn ac_plug turn,"When Current humidity level rises above from Weather Underground, do Turn off using WeMo Smart Plug. Outdoor Christmas lights rain no lights 95% humidity for wemo swich. Good to use as automation so your outdoor lights turn off when it's going to rain soon so your Christmas lights don't get messed up you cam buy the wemo switch at target for 50$ or less and use a cord and a power strip from 1 wemo"
T004_S0020,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn off using WeMo Smart Plug. If Bad Weather is coming... than shut down electric devices.If Bad Weather is approaching, than electric and electronic devices can be shut down for protection.Unfortunately, no IFTTT available Trigger can be associated to Thunderstorms Forecast at this time."
T004_S0021,4_turn heater_insight switch_turn ac_plug turn,"When Temperature rises above from Netatmo Weather Station, do Start Cool Mode using tado Air Conditioning. Netatmo and TadoÃÂÃÂÃÂÃÂ°. Temperature of the room with Netatmo and clim temperature with TadoÃÂÃÂÃÂÃÂ°"
T004_S0022,4_turn heater_insight switch_turn ac_plug turn,"When Temperature drops below from Netatmo Weather Station, do Set temperature using ThermoSmart. Use your Netatmo as a temp sensor. Use your indoor Netatmo weather station as a second temp sensor"
T004_S0023,4_turn heater_insight switch_turn ac_plug turn,"When Temperature drops below from Netatmo Weather Station, do Set temperature using ThermoSmart. ThermoSmart fireplace sensor #1. This is a way to handle the heat from an open fire place or wood stove: The living-room is hot, the rest of the house is coldImportant: The ""Set temperature"" of 30dgC is requiredThe measured roomtemperature is not knownTo be sure the boiler is fired, the set is at it highest point possible"
T004_S0024,4_turn heater_insight switch_turn ac_plug turn,"When Temperature drops below from Netatmo Weather Station, do Set temperature using ThermoSmart. ThermoSmart fireplace sensor #1. If measured room temperature drops below then fire the boiler.This is a way to handle the heat from an open fire place or wood stove: The living-room is hot, the rest of the house is coldImportant: The ""Set temperature"" of 30dgC is requiredThe measured room temperature is not knownTo be sure the boiler is fired, the set is at it highest point possible"
T004_S0025,4_turn heater_insight switch_turn ac_plug turn,"When Temperature drops below from Netatmo Weather Station, do Turn on using WeMo Insight Switch. If the room is cold, then turn on the heater. If temperature drops below the selected temperature, then turn on the heater"
T004_S0026,4_turn heater_insight switch_turn ac_plug turn,"When Temperature rises above from Netatmo Weather Station, do Turn off using WeMo Insight Switch. If the room is warm, then turn off the heater. If temperature rises above the selected temperature, then turn off the heater"
T004_S0027,4_turn heater_insight switch_turn ac_plug turn,"When Temperature drops below from Netatmo Weather Station, do Turn on using WeMo Smart Plug. turn on heater if temperature drops below. turn on heater if temperature drops below"
T004_S0028,4_turn heater_insight switch_turn ac_plug turn,"When Temperature rises above from Netatmo Weather Station, do Turn off using WeMo Smart Plug. If temperature rises too high turn off the heater!. Turn off your wemo switch after netatmo says the temperature has been met"
T004_S0029,4_turn heater_insight switch_turn ac_plug turn,"When Humidity rises above from Netatmo Weather Station, do Turn off using WeMo Smart Plug. Switch off humidifier with WeMo. switches off humidifier connected to WeMo if humidity level rises above 45%"
T004_S0030,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn on using WeMo Smart Plug. Cloudy Day, turn on light. Turn on Wemo light on a cloudy day."
T004_S0031,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn on using WeMo Smart Plug. If it starts raining, turn on light. Turn on a light (or just use as a notification) when it starts raining to get a little extra light in the room."
T004_S0032,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn on using WeMo Smart Plug. Know when it's about to rain. This recipe turns a light on, letting you know that it's about to rainGiving you time to close windows and secure other items from the rain."
T004_S0033,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn on using WeMo Smart Plug. When it rains, turn on the fan that dries out the basement.. Our basement often gets wet when it rainsWe have a fan pointed at the wet spot that will now automatically turn on when it starts raining."
T004_S0034,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn on using WeMo Smart Plug. If it's CLEAR then turn ON my Rain Bird Irrigation System (Sprinkler). Most irrigation systems like Rain Bird have a battery back up which maintains the programming as well as the timeWhen the power is OFF the system will not run the irrigationThis rule will turn ON the We Mo Switch when the current condition shows CLEARBe sure to copy my other rule which turn OFF the Rain Bird on a RAINY dayhttps://ifttt.com/Applets/92828"
T004_S0035,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature rises above from Weather Underground, do Turn off using WeMo Light Switch. If outdoor temperature rises above 73, turn off whole-house fan. I use a Wemo Light Switch to control an outlet which powers a whole-house attic fan I want the fan to run at night once it's cool enough outside."
T004_S0036,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature drops below from Weather Underground, do Turn off using WeMo Light Switch. Turn switch off if temp below. Use this to turn your heat cables off and save energy if outside temp is low enough that nothing is melting"
T004_S0037,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature drops below from Weather Underground, do Turn relay on momentarily using WeMo Maker. Turn on WeMo Maker (connected to my heating) when temperature drops to zero. I have connected my Maker to the 1 hour boost button of my heating system"
T004_S0038,4_turn heater_insight switch_turn ac_plug turn,"When Tomorrow's forecast calls for from Weather Underground, do Turn on then off using WeMo Smart Plug. If tomorrowÃÂÃÂ¢ÃÂÃÂÃÂÃÂs forecast calls for rain -> Blink Wemo Switch. Belkin Wemo Wall Switch blinks on & off if tomorrow's forecast calls for rain."
T004_S0039,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature drops below from Weather Underground, do Turn on using WeMo Insight Switch. Turn on car block heater at -15 C. The WeMo is not weather proofMy WeMo is inside the garage."
T004_S0040,4_turn heater_insight switch_turn ac_plug turn,"When Wind speed rises above from Weather Underground, do Turn on using WeMo Smart Plug. Wind speed turns on switch. Exhaust fans in the crawl space of our house are triggered by a heavy wind speed keeping the house from smelling musty."
T004_S0041,4_turn heater_insight switch_turn ac_plug turn,"When Tomorrow's forecast calls for from Weather Underground, do Turn on using WeMo Smart Plug. Rain tomorrow keep AGA on. WEMO switches off AGA 8pm if rain tomorrow switches AGA back on at 8.15 pm to keep heat"
T004_S0042,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature rises above from Weather Underground, do Turn on using WeMo Smart Plug. Turn on AC plugged into Wemo when outdoor temp rises above a certain point (User picks the temp). Should be used with ""Turn off AC plugged into Wemo when outdoor temp falls below a certain point"""
T004_S0043,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature rises above from Weather Underground, do Turn on using WeMo Smart Plug. If the current #temperature goes above 30ÃÂÃÂÃÂÃÂ°C then turn on the #fan to keep the dogs nice and cool. Once the temperature goes above 30ÃÂÃÂÃÂÃÂ°C, a fan connected to a WeMo switch kicks in and blows nice cool air on the dogs bed."
T004_S0044,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature drops below from Weather Underground, do Turn on using WeMo Smart Plug. Chicken Coop heat lamp on in cold weather.. If the local temperature drops below a set level, then the Wemo switch powering the heat lamp in the chicken coop will turn on."
T004_S0045,4_turn heater_insight switch_turn ac_plug turn,"When Wind speed rises above from Weather Underground, do Turn off using WeMo Smart Plug. If wind is above 5mph turn off fountain. Stops water being lost from the fountain"
T004_S0046,4_turn heater_insight switch_turn ac_plug turn,"When Temperature drops below from IntesisHome, do Turn off A/C using IntesisHome. turn off 2nd bed if below 75. turn off 2nd bed if below 75"
T004_S0047,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature rises above from Weather Underground, do Turn off using WeMo Smart Plug. Deactivate freeze protection purge. When the outside temperature rises and maintains above freezing, this deactivates an automatic system air purge used for freeze protection."
T004_S0048,4_turn heater_insight switch_turn ac_plug turn,"When Temperature drops below from ThermoSmart, do Turn off using WeMo Smart Plug. Turn off your lights when temperature drops below.... Turn off your lights when the measured temperature of your ThermoSmart drops below a certain threshold."
T004_S0049,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature drops below from Weather Underground, do Turn on using D-Link Smart Plug. If current temperature drops below , then turn on D-Link Smart Plug.. If current temperature drops below , then turn on D-Link Smart Plug."
T004_S0050,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn on using D-Link Smart Plug. If current condition changes to, then turn on D-Link Smart Plug.. If current condition changes to, then turn on D-Link Smart Plug."
T004_S0051,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature drops below from Weather Underground, do Turn off using WeMo Smart Plug. Turn off wemo switch when temp decreases. Set temp for when to turn off wemo switch"
T004_S0052,4_turn heater_insight switch_turn ac_plug turn,"When Water Detected from D-Link Water Sensor, do Turn on using WeMo Smart Plug. Turn on pump if leak detected. I use this to pump water if flooding is detected."
T004_S0053,4_turn heater_insight switch_turn ac_plug turn,"When Outdoor temperature greater than from ecobee, do Switch on using SmartThings. Turn on fan if outdoor temp is greater than X. This Applet will turn on a ceiling fan switch if the the outdoor temperature registered on the Ecobee device is greater than X."
T004_S0054,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn off using WeMo Insight Switch. If raining, stop watering. Tag an Insight switch to ""off"" if yahoo weather says ""changing to rain"""
T004_S0055,4_turn heater_insight switch_turn ac_plug turn,"When Current temperature rises above from Weather Underground, do Turn on using WeMo Light Switch. Turn on the ceiling fan... Much Hot!Auto turn on the ceiling fan for the doge."
T004_S0056,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn on using WeMo Light Switch. Turn on Roof Heat Tape when it snows. Use  WEMO SWITCH connected to a heating tape circuit to turn on when weather reports snowNote: limited by amount of Max electric wattage a Wemo can handle, about 1600 watts of heat tape.MAX."
T004_S0057,4_turn heater_insight switch_turn ac_plug turn,"When Current condition changes to from Weather Underground, do Turn on using WeMo Light Switch. If it starts to rain, then turn on the porch lights.. Turn on outside lights when it starts to rain If the lights are already on, then they will stay on."
