sample_id,topic_name,topic_text
T_OUTLIER_S0001,-1_use smartthings_detects_automatically turn_run homeseer event,"When You enter an area from Location, do Resume programmed schedule using Honeywell Total Connect Comfort. When you get close to home, resume the programmed thermostat schedule. If your home automation system sets your thermostat to an ""Away"" temperature and places a hold on it while you're gone, this Applet will let it go back to normal when you're getting close to home and can help get the house comfortable faster."
T_OUTLIER_S0002,-1_use smartthings_detects_automatically turn_run homeseer event,"When You enter an area from Location, do Resume programmed schedule using Honeywell Total Connect Comfort. If you enter an area resume the normal programmed schedule. Resume normal thermostat operation when returning back to home after an absence."
T_OUTLIER_S0003,-1_use smartthings_detects_automatically turn_run homeseer event,"When Motion has been detected from Netatmo Security, do Turn on using D-Link Smart Plug. If motion seen by Netatmo Welcome, then turn on D-Link Smart Plug.. If motion seen by Netatmo Welcome, then turn on D-Link Smart Plug."
T_OUTLIER_S0004,-1_use smartthings_detects_automatically turn_run homeseer event,"When Someone unknown has been seen from Netatmo Security, do Turn on using D-Link Smart Plug. If unknown person seen by Welcome, then turn on D-Link Smart Plug .. If unknown person seen by Welcome, then turn on D-Link Smart Plug ."
T_OUTLIER_S0005,-1_use smartthings_detects_automatically turn_run homeseer event,"When tadoâ Â° switches to Home Mode from tado Air Conditioning, do Turn lights on using LIFX. If tadoÂ° switches to Home mode, then turn the lights on. No more searching for the light switch when you come back home. Automatically turn on your Lifx bulbs if tadoÂº notices that you come back home."
T_OUTLIER_S0006,-1_use smartthings_detects_automatically turn_run homeseer event,"When New motion event from Nest Cam, do Turn light on using Emberlight. Light ON when motion is detected. When your nestcam detects a motion, emberlight will turn your light ON."
T_OUTLIER_S0007,-1_use smartthings_detects_automatically turn_run homeseer event,"When Every day at from Date & Time, do Set the thermostat to schedule using Hive Active Heating. Set my heating to schedule at bed time. Make sure your thermostat is set to schedule over night by running this Recipe every night at the time you specify."
T_OUTLIER_S0008,-1_use smartthings_detects_automatically turn_run homeseer event,"When Every day at from Date & Time, do Lock using SmartThings. Use SmartThings to lock your doors every night. Make sure your doors are locked every night."
T_OUTLIER_S0009,-1_use smartthings_detects_automatically turn_run homeseer event,"When Every day of the week at from Date & Time, do Lock using SmartThings. Use this to automatically lock your door at a time of day.. I use this to lock my house in the eveningI am using the DanalockIf I forget to lock the front door"
T_OUTLIER_S0010,-1_use smartthings_detects_automatically turn_run homeseer event,"When Smart Home/Away from ecobee, do Turn off using WeMo Light Switch. If Ecobee thermostat detects I'm not home, turn off the lights. Uses smarthome/smartaway to tell if you are home or not"
T_OUTLIER_S0011,-1_use smartthings_detects_automatically turn_run homeseer event,"When Smart Home/Away from ecobee, do Turn on lights using Philips Hue. Turn on lights when motion detected. Ecobee and Hue work together to detect occupancy and turn lights on"
T_OUTLIER_S0012,-1_use smartthings_detects_automatically turn_run homeseer event,"When Smart Home/Away from ecobee, do Turn on lights using Philips Hue. If motion is detected then turn on the lights.. Turn on the lights when I walk in door."
T_OUTLIER_S0013,-1_use smartthings_detects_automatically turn_run homeseer event,"When Smart Home/Away from ecobee, do Turn on lights using Philips Hue. ecobee turn on lights. Use Ecobee3 Proximity Sensor to turn on Hue Lights"
T_OUTLIER_S0014,-1_use smartthings_detects_automatically turn_run homeseer event,"When New sound or motion event from Nest Cam, do Turn on lights using Philips Hue. Automatically turn on your Hue lights when Nest Cam detects motion or sound. The lights will alert whoever (or whatever) is moving around that their presence has been noted!"
T_OUTLIER_S0015,-1_use smartthings_detects_automatically turn_run homeseer event,"When New motion event from Nest Cam, do Blink lights using LIFX. When motion is detected, blink LIFX lights red. Scare off any intruders by blinking your LIFX lights when your Nest Cam detects motion."
T_OUTLIER_S0016,-1_use smartthings_detects_automatically turn_run homeseer event,"When New sound or motion event from Nest Cam, do Update Indicator using LaMetric Time. Someone At Home. This will message if there is something at home"
T_OUTLIER_S0017,-1_use smartthings_detects_automatically turn_run homeseer event,"When Temperature is too high from Wireless Tag, do Turn on fan for 15 minutes using Nest Thermostat. turn on fan when your room becomes too hot. If your room is too hot, turn on fan no matter what temperature is set at Nest."
T_OUTLIER_S0018,-1_use smartthings_detects_automatically turn_run homeseer event,"When Temperature drops below from Wink: Spotter, do Set temperature using Nest Thermostat. If temp drops below 20 degrees on 1st floor then increase temp on Nest on ground floor. Compensate for warmer temperature on ground floor"
T_OUTLIER_S0019,-1_use smartthings_detects_automatically turn_run homeseer event,"When Temperature drops below from Wink: Spotter, do Set hold until next transition using ecobee. Spotter_LowTemp_Ecobee. Control the Ecobee thermostat using temperature input from the Wink Spotter"
T_OUTLIER_S0020,-1_use smartthings_detects_automatically turn_run homeseer event,"When Money added from Wink: Porkfolio, do Change to random color using Philips Hue. Porkfolio Random Colors. This changes a Hue bulb to a random color when you put money in a Porkfolio"
T_OUTLIER_S0021,-1_use smartthings_detects_automatically turn_run homeseer event,"When Money added from Wink: Porkfolio, do Blink a device using Greenwave Systems. Blink a light when money is added to my porkfolio. Blink a light when money is added to my porkfolio."
T_OUTLIER_S0022,-1_use smartthings_detects_automatically turn_run homeseer event,"When Action Button Pressed from LaMetric Time, do Toggle lights on/off using Philips Hue. Toggle Hue Lights with the click of a button. Toggle Hue Lights with the click of a button"
T_OUTLIER_S0023,-1_use smartthings_detects_automatically turn_run homeseer event,"When Action Button Pressed from LaMetric Time, do Send a command using openHAB. Turn off a light with LaMetric. Use the IFTTT LaMetric app to toggle an item in OpenHAB"
T_OUTLIER_S0024,-1_use smartthings_detects_automatically turn_run homeseer event,"When Action Button Pressed from LaMetric Time, do Set temperature using Nest Thermostat. Set your Nest thermostat to ___Â° with LaMetric Button. You can change the preset temperature below.This Recipe requires special hardware, the Nest thermostat & the LaMetric (with IFTTT Button App)."
T_OUTLIER_S0025,-1_use smartthings_detects_automatically turn_run homeseer event,"When Alarm triggered from Scout Alarm, do Start recording using Arlo. If Scout Alarm (away) is tripped, Arlo records (10 min). Change scout alarm mode and record length frequency"
T_OUTLIER_S0026,-1_use smartthings_detects_automatically turn_run homeseer event,"When Current condition changes to from Weather Underground, do Breathe lights using LIFX. If current weather condition changes to rain, then breathe lights. A LIFX bulb in my corridor notifies me when i should take an umbrella outside. Hamburg's weather is tricky!"
T_OUTLIER_S0027,-1_use smartthings_detects_automatically turn_run homeseer event,"When You enter an area from Location, do Turn light on using Leeo. Turn on your Leeo Smart Alert lights when you enter an area. -iPhoneUse geo-fencing to select an area so when you enter it, the Leeo Smart Alert lights will turn on."
T_OUTLIER_S0028,-1_use smartthings_detects_automatically turn_run homeseer event,"When New sound or motion event from Nest Cam, do Turn on lights using Philips Hue. Automatically turn on your Hue lights when Nest Cam detects motion or sound. The lights will alert whoever (or whatever) is moving around that their presence has been noted!"
T_OUTLIER_S0029,-1_use smartthings_detects_automatically turn_run homeseer event,"When New motion event from Nest Cam, do Turn device ON using SkylinkNet. If Nest Cam detects motion, turn on a SkylinkNet lamp. Turn on SkylinkNet light module if your Nest Cam detects motion."
T_OUTLIER_S0030,-1_use smartthings_detects_automatically turn_run homeseer event,"When Pulse - Yesterday's steps above from Withings, do Mother plays a sound using Sen.se Mother. When I reach my activity goal, Mother sighs happily. When I reach my activity goal, Mother sighs happily"
T_OUTLIER_S0031,-1_use smartthings_detects_automatically turn_run homeseer event,"When You exit an area from Location, do Turn off using WeMo Lighting. Leave location, turn off bulb. Having light walking to your car is quite en-light-ening but leaving it on feels so wrong. Problem solved! Exit the grid and poof the light is gone."
T_OUTLIER_S0032,-1_use smartthings_detects_automatically turn_run homeseer event,"When Action Button Pressed from LaMetric Time, do Start activity using Harmony. Start Harmony Activity with LaMetric Button. Start your Harmony activity from the LaMetric DO Button.This Applet requires special hardware, the Harmony system & the LaMetric (with IFTTT Button App)."
T_OUTLIER_S0033,-1_use smartthings_detects_automatically turn_run homeseer event,"When Vehicle leaves a place from Zubie, do Switch off using SmartThings. When I leave home, turn off the lights. When Zubie detects a departure event from your Home, or any specified location, you can use the SmartThings service to turn off one or more lights.   You will need to have configured SmartThings devices and service to use this Applet."
T_OUTLIER_S0034,-1_use smartthings_detects_automatically turn_run homeseer event,"When tadoâ Â° switches to Away Mode from tado Heating, do Turn off using WeMo Smart Plug. Lights off when you leave. I want to make sure my lights aren't left on when I leave the house."
T_OUTLIER_S0035,-1_use smartthings_detects_automatically turn_run homeseer event,"When tadoâ Â° switches to Away Mode from tado Heating, do Switch off a socket using LightwaveRF Power. Turn off lights when Heating Turns off. Tado works off your location, so when you leave, get it to turn off your lights!"
T_OUTLIER_S0036,-1_use smartthings_detects_automatically turn_run homeseer event,"When tadoâ Â° switches to Away Mode from tado Heating, do Turn lights off using LIFX. Turn off lights when everyone leaves home.. Every member of your household needs to be registered on Tado.  Switch this off if you have guests :-)"
T_OUTLIER_S0037,-1_use smartthings_detects_automatically turn_run homeseer event,"When tadoâ Â° switches to Away Mode from tado Heating, do Turn lights off using LIFX. If tadoÂ° switches to Away mode, then turn the lights off. No more searching for the light switch when you leave home. Automatically turn off your Lifx bulbs if tadoÂº notices that nobody is home."
T_OUTLIER_S0038,-1_use smartthings_detects_automatically turn_run homeseer event,"When Current temperature drops below from Weather Underground, do Activate shortcut using Wink: Shortcuts. Below specified temperature turn off appliance (portable A/C unit). I use this for my upstairs portable A/C unitThis  could also work great for window units as well."
T_OUTLIER_S0039,-1_use smartthings_detects_automatically turn_run homeseer event,"When Daily cost rises above from WeMo Insight Switch, do Change color using Philips Hue. Increase Saturation as Cost increases. Add at 10ÃÂÃÂÃÂÃÂ¢ StepsUse http://www.colorhexa.com/ to configure gradients"
T_OUTLIER_S0040,-1_use smartthings_detects_automatically turn_run homeseer event,"When Daily cost rises above from WeMo Insight Switch, do Enable/Disable Econo mode using Daikin Online Controller. If my Daikin AC unit consumes too much power, enable Econo mode.. Econo mode is only supported by the new R32 outdoor/indoor units."
T_OUTLIER_S0041,-1_use smartthings_detects_automatically turn_run homeseer event,"When Long press from WeMo Light Switch, do Deactivate siren/strobe using SmartThings. Long press deactivates alarm. This is the anti-panic button, do a long press on this button to defuse an alarm"
T_OUTLIER_S0042,-1_use smartthings_detects_automatically turn_run homeseer event,"When You enter an area from Location, do Turn on fan for 15 minutes using Nest Thermostat. Turn on Nest when I get near home. Set the area around your home"
T_OUTLIER_S0043,-1_use smartthings_detects_automatically turn_run homeseer event,"When You enter an area from Location, do Breathe lights using LIFX. Lifx lights breathe to announce you are almost home. Easier than calling"
T_OUTLIER_S0044,-1_use smartthings_detects_automatically turn_run homeseer event,"When You enter an area from Location, do Turn lights off using LIFX. Enter an area? Lights go off!. You know when is happens? You just get to work and, *Poof*! ""I NEEDED TO TURN OFF MY LIGHTS!!""Well, no longer will that happen! Just change the location to your work, and the lights will automatically turn off :D"
T_OUTLIER_S0045,-1_use smartthings_detects_automatically turn_run homeseer event,"When You exit an area from Location, do Turn lights off using LIFX. If you exit an area, turn lights off. all lights will be turned off"
T_OUTLIER_S0046,-1_use smartthings_detects_automatically turn_run homeseer event,"When You exit an area from Location, do Turn lights off using LIFX. Turn off lights, when leaving. Turns off all of your lights, when you leave the location"
T_OUTLIER_S0047,-1_use smartthings_detects_automatically turn_run homeseer event,"When You enter an area from Location, do Turn lights on using LIFX. Turn your lights on as you arrive home. Automatically turn your lights on as you arrive home."
